,episode,U.S. viewers(millions)
0,1,2.22
1,2,2.2
2,3,2.44
3,4,2.45
4,5,2.58
5,6,2.44
6,7,2.4
7,8,2.72
8,9,2.66
9,10,3.04
10,1,3.86
11,2,3.76
12,3,3.77
13,4,3.65
14,5,3.9
15,6,3.88
16,7,3.69
17,8,3.86
18,9,3.38
19,10,4.2
20,1,4.37
21,2,4.27
22,3,4.72
23,4,4.87
24,5,5.35
25,6,5.5
26,7,4.84
27,8,5.13
28,9,5.22
29,10,5.39
30,1,6.64
31,2,6.31
32,3,6.59
33,4,6.95
34,5,7.16
35,6,6.4
36,7,7.2
37,8,7.17
38,9,6.95
39,10,7.09
40,1,8.0
41,2,6.81
42,3,6.71
43,4,6.82
44,5,6.56
45,6,6.24
46,7,5.4
47,8,7.01
48,9,7.14
49,10,8.11
50,1,7.94
51,2,7.29
52,3,7.28
53,4,7.82
54,5,7.89
55,6,6.71
56,7,7.8
57,8,7.6
58,9,7.66
59,10,8.89
60,1,10.1
61,2,9.27
62,3,9.25
63,4,10.1
64,5,10.7
65,6,10.2
66,7,12.0
67,1,11.7
68,2,10.2
69,3,12.0
70,4,11.8
71,5,12.4
72,6,13.6
